quarter,company,company_name,net_sales_ytd,gross_profit_ytd,operating_profit_ytd,net_profit_ytd,ebitda_ytd,gross_margin,operating_margin,net_margin,ebitda_margin,net_sales_ytd_yoy,net_profit_ytd_yoy,ebitda_ytd_yoy,deflator,cpi_index,net_sales_ttm,net_sales_ttm_real,total_assets
2025Q4,BIMAS,BİM,793458396023.0,153447394542.0,17547081184.0,20616307257.0,46858300380.0,19.33905990674677,2.2114683355737483,2.598284593159992,5.905577483944315,16.672556171016993,-15.37833499646023,59.00611658065078,1.0,8.91789548951822,793458396023.0,793458396023.0,372038529174.0
2021Q1,BIZIM,Bizim Toptan,1446755659.0,174185130.0,15382933.0,425084.0,36501756.0,12.039706146399114,1.0632709749089704,0.029381879196782878,2.523007653222527,22.838453201356845,-88.84287227980641,5.458698567630638,6.711140194942744,1.3288197281645824,5630805272.0,37789123590.81471,1621138023.0
2021Q2,BIZIM,Bizim Toptan,3075766188.0,356768433.0,37540072.0,6249345.0,80420729.0,11.599335293817854,1.2205112386780683,0.2031801059645435,2.6146567744244935,22.735772470113712,-44.22025081382258,11.483460306002824,6.417531697820498,1.389614560462068,5931580487.0,38066105793.49605,1622497123.0
2021Q3,BIZIM,Bizim Toptan,4937073831.0,570175129.0,74974979.0,21392064.0,142122304.0,11.548847526238259,1.5186116628280983,0.4332943912177035,2.8786748763530894,27.005987963922063,9.905512984193932,23.463689689037004,6.157269341166413,1.4483523450719866,6411618001.0,39478058944.82798,1778873535.0
2021Q4,BIZIM,Bizim Toptan,7173144694.0,882824508.0,148949521.0,82245447.0,244081974.0,12.307356754401475,2.0764884489865274,1.1465744873206654,3.402719231415521,33.781885541143566,115.39966024944425,43.30239170391541,5.1150093943262815,1.743475876976924,7173144694.0,36690702496.67172,2138497049.0
2022Q1,BIZIM,Bizim Toptan,2348086506.0,362129464.0,57487668.0,25046190.0,87803648.0,15.422322093954405,2.448277261212624,1.0666638531417036,3.7393702393688555,62.300143178496455,5792.056628807483,140.546367139159,4.165257823313482,2.141018843924526,8074475541.0,33632272416.303608,2602056612.0
2022Q2,BIZIM,Bizim Toptan,5495924408.0,850741992.0,156123593.0,61472518.0,218793627.0,15.47950679164436,2.8407157997432195,1.118510980800957,3.981015944861227,78.68472673385145,883.6633759217966,172.06123311814295,3.593430564923052,2.4817219446423846,9593302914.0,34472867909.73298,3154798138.0
2022Q3,BIZIM,Bizim Toptan,9344037251.0,1354997879.0,236777647.0,92091751.0,333647537.0,14.501203736693022,2.533997250221365,0.985567036241688,3.5706999879981534,89.26265984374338,330.49493026946817,134.76085569229164,3.3563503371489034,2.657021643662397,11580108114.0,38866899772.64465,3453796743.0
2022Q4,BIZIM,Bizim Toptan,31937713710.0,3109126290.0,-1011542471.0,736508801.0,-414632963.0,9.734968251739645,-3.1672350757007273,2.306078662009523,-1.298254993344043,345.24005958940717,795.5010008031204,-269.8744713528087,3.1141067440387884,2.8637089934663913,31937713710.0,99457449653.49107,10200729927.0
2023Q1,BIZIM,Bizim Toptan,10019016133.0,868422976.0,-674451618.0,104089000.0,-466554214.0,8.667747056915534,-6.7317150611079875,1.0389143865849089,-4.656686922214781,326.68854437000886,315.5881593168462,-631.3608541640548,2.7673890892301944,3.222494272389761,39608643337.0,109612527410.02403,4601266086.0
